                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0172,                 2.9892,                 3.0762,                0.21764,                0.14794,                0.11013,                0.04069,                 2.4697,                  3.015,                 2.5487,             0.00066597,             0.00066597,             0.00066597
                      2,                 2.1577,                  2.217,                 2.0694,                0.42581,                 0.2818,                0.26662,                0.10632,                 2.1773,                  2.379,                 2.1382,              0.0012667,              0.0012667,              0.0012667
                      3,                 1.9321,                 1.9518,                 1.8393,                0.51489,                0.34287,                 0.3421,                 0.1449,                 2.0072,                 1.9575,                 2.0145,              0.0018014,              0.0018014,              0.0018014
                      4,                 1.8225,                 1.8056,                 1.7368,                  0.582,                0.37345,                0.39556,                0.18465,                 1.8853,                 1.7819,                 1.8681,               0.001703,               0.001703,               0.001703
                      5,                 1.7366,                 1.7003,                 1.6679,                0.62587,                0.41295,                0.44241,                0.20684,                 1.8261,                 1.6715,                 1.7992,               0.001604,               0.001604,               0.001604
                      6,                 1.6685,                 1.6034,                 1.6122,                 0.6588,                0.41829,                0.46441,                0.23077,                 1.7693,                 1.5736,                 1.7728,               0.001505,               0.001505,               0.001505
                      7,                 1.6172,                 1.5426,                 1.5757,                0.67977,                0.43218,                0.47343,                0.23768,                 1.7249,                 1.5108,                  1.726,               0.001406,               0.001406,               0.001406
                      8,                 1.5833,                 1.5046,                 1.5512,                0.68706,                0.43171,                0.47742,                0.23922,                  1.721,                 1.4804,                 1.7017,               0.001307,               0.001307,               0.001307
                      9,                  1.548,                 1.4623,                  1.523,                0.70103,                0.44944,                0.50796,                0.26342,                 1.6556,                 1.4093,                 1.6671,               0.001208,               0.001208,               0.001208
                     10,                 1.5198,                 1.4174,                  1.502,                0.65906,                0.46623,                0.51376,                0.25615,                 1.6705,                 1.4057,                  1.647,               0.001109,               0.001109,               0.001109
                     11,                 1.4976,                 1.3836,                 1.5142,                0.70741,                0.47824,                0.53201,                0.28038,                 1.6029,                 1.3424,                 1.6137,                0.00101,                0.00101,                0.00101
                     12,                  1.468,                 1.3451,                 1.4905,                0.70857,                  0.489,                0.54625,                0.28679,                 1.6181,                 1.2984,                 1.6074,               0.000911,               0.000911,               0.000911
                     13,                 1.4448,                 1.3134,                 1.4715,                0.72814,                0.49325,                0.55591,                0.29838,                 1.5675,                 1.2502,                  1.578,               0.000812,               0.000812,               0.000812
                     14,                 1.4258,                  1.281,                 1.4584,                0.71577,                0.49944,                 0.5642,                 0.3048,                 1.5442,                 1.2252,                 1.5451,               0.000713,               0.000713,               0.000713
                     15,                 1.4027,                  1.256,                 1.4426,                0.73422,                0.50281,                0.57161,                0.31257,                 1.5313,                 1.1985,                 1.5461,               0.000614,               0.000614,               0.000614
                     16,                 1.3851,                  1.236,                 1.4291,                0.74406,                0.49944,                  0.571,                0.31382,                 1.5165,                 1.1923,                  1.523,               0.000515,               0.000515,               0.000515
                     17,                 1.3637,                 1.2151,                 1.4153,                 0.7402,                0.50413,                0.57957,                 0.3194,                 1.4999,                 1.1714,                  1.521,               0.000416,               0.000416,               0.000416
                     18,                 1.3471,                  1.191,                  1.402,                0.75744,                0.50432,                0.58247,                0.32116,                 1.4965,                 1.1513,                 1.5182,               0.000317,               0.000317,               0.000317
                     19,                  1.324,                 1.1686,                 1.3902,                0.75038,                0.50994,                0.58438,                0.32666,                 1.4828,                 1.1383,                  1.504,               0.000218,               0.000218,               0.000218
                     20,                 1.3147,                 1.1535,                  1.382,                 0.7422,                0.51623,                0.59007,                0.32858,                 1.4826,                 1.1309,                 1.5047,               0.000119,               0.000119,               0.000119
